Timestamps (secs),zScore,Events
0.09830399803392005,-0.1288878,
0.1966079960678401,-0.3151774,
0.2949119941017601,0.006045532,
0.3932159921356802,-0.14130317,
0.4915199901696002,0.027634472,
0.5898239882035202,-0.29824916,
0.6881279862374402,-0.17380975,
0.7864319842713604,-0.12908816,
0.8847359823052804,-0.29255715,
0.9830399803392004,-0.24070492,
1.0813439783731205,-0.36477318,
1.1796479764070404,-0.023288231,
1.2779519744409604,-0.25946262,
1.3762559724748804,-0.14164148,
1.4745599705088006,-0.6114514,
1.5728639685427208,-0.32963902,
1.6711679665766408,-0.49449736,
1.7694719646105608,-0.2346549,
1.8677759626444808,-0.051787738,
1.9660799606784007,-0.13662934,
2.064383958712321,0.14811936,
2.162687956746241,0.29437104,
2.260991954780161,0.5304075,
2.359295952814081,0.38212928,
2.457599950848001,0.30345923,
2.555903948881921,0.23255041,
2.654207946915841,0.32250926,
2.752511944949761,0.37417427,
2.8508159429836812,0.33401152,
2.949119941017601,-0.026277116,
3.047423939051521,-0.05796586,
3.1457279370854416,0.37847695,
3.244031935119361,0.3418319,
3.3423359331532816,0.5558918,
3.440639931187201,0.37303126,
3.5389439292211216,0.47464016,
3.637247927255041,0.684762,
3.7355519252889615,0.4166821,
3.833855923322881,0.45472303,
3.9321599213568015,0.32103124,
4.030463919390721,0.49316138,
4.128767917424642,0.36315152,
4.227071915458562,0.26375306,
4.325375913492482,0.2784643,
4.423679911526402,0.4359719,
4.521983909560322,0.2538339,
4.620287907594242,0.35860577,
4.718591905628162,0.2325307,
4.816895903662082,0.19546197,
4.915199901696002,0.48755476,
5.013503899729923,0.22474976,
5.111807897763842,0.16659789,
5.210111895797763,0.009707736,
5.308415893831682,-0.025383735,
5.4067198918656025,0.15310521,
5.505023889899522,0.012433861,
5.6033278879334425,0.1148048,
5.7016318859673625,0.07934217,
5.7999358840012825,0.0070473007,
5.898239882035202,-0.022900663,
5.996543880069122,0.19436495,
6.094847878103042,-0.057361513,
6.193151876136962,0.10073404,
6.291455874170883,0.12705922,
6.389759872204803,0.17014514,
6.488063870238722,0.25474697,
6.586367868272642,0.18371007,
6.684671866306563,0.19176035,
6.782975864340483,-0.047044937,
6.881279862374402,-0.09858184,
6.979583860408322,0.47317198,
7.077887858442243,0.32291326,
7.176191856476163,0.3887114,
7.274495854510082,0.46385062,
7.372799852544003,0.45806006,
7.471103850577923,0.31810805,
7.569407848611844,-0.03675792,
7.667711846645762,0.30220455,
7.766015844679683,0.46779528,
7.864319842713603,0.4237339,
7.962623840747524,0.23306608,
8.060927838781442,0.48290065,
8.159231836815364,0.307913,
8.257535834849284,0.31595343,
8.355839832883204,0.0124798445,
8.454143830917124,0.008551597,
8.552447828951044,0.017731741,
8.650751826984964,-0.04778723,
8.749055825018884,0.45697618,
8.847359823052804,0.727168,
8.945663821086724,0.83201873,
9.043967819120644,0.421195,
9.142271817154564,0.59745044,
9.240575815188484,0.16437757,
9.338879813222404,0.23124975,
9.437183811256324,0.18649204,
9.535487809290244,0.36306942,
9.633791807324164,0.6416203,
9.732095805358083,0.3774653,
9.830399803392003,0.48045042,
9.928703801425923,0.12723002,
10.027007799459845,0.27092308,
10.125311797493763,0.4322604,
10.223615795527683,0.5663989,
10.321919793561603,0.552857,
10.420223791595525,0.6875177,
10.518527789629443,0.6386347,
10.616831787663363,0.49710935,
10.715135785697285,0.52927434,
10.813439783731205,0.6345882,
10.911743781765125,0.54706967,
11.010047779799043,0.48798174,
11.108351777832965,0.5535533,
11.206655775866885,0.5493885,
11.304959773900805,0.45359644,
11.403263771934725,0.43549234,
11.501567769968645,0.6333072,
11.599871768002565,0.34373692,
11.698175766036485,0.35338017,
11.796479764070405,0.40182307,
11.894783762104325,0.26245567,
11.993087760138245,-0.10308159,
12.091391758172165,0.05894878,
12.189695756206085,-0.27258745,
12.287999754240005,-0.22681482,
12.386303752273925,-0.16580874,
12.484607750307845,0.15740132,
12.582911748341767,0.35757118,
12.681215746375685,0.5330154,
12.779519744409606,0.5569264,
12.877823742443525,0.75386107,
12.976127740477445,0.21131948,
13.074431738511366,0.17233917,
13.172735736545285,0.0528889,
13.271039734579205,0.27111688,
13.369343732613126,0.29369444,
13.467647730647045,0.47522807,
13.565951728680966,0.5237761,
13.664255726714886,0.5305323,
13.762559724748805,0.74393535,
13.860863722782726,0.30026343,
13.959167720816644,0.4515699,
14.057471718850564,0.41332865,
14.155775716884486,0.21606228,
14.254079714918404,0.5775333,
14.352383712952326,0.38650095,
14.450687710986246,0.45901912,
14.548991709020164,0.66450655,
14.647295707054086,0.42995802,
14.745599705088006,0.62361467,
14.843903703121928,0.7486355,
14.942207701155846,0.5797208,
15.040511699189766,0.29419696,
15.138815697223688,0.608887,
15.237119695257606,0.7516572,
15.335423693291524,0.50740296,
15.433727691325446,0.056597088,
15.532031689359366,-0.044328663,
15.630335687393288,0.19775455,
15.728639685427206,0.23815376,
15.826943683461126,0.29427907,
15.925247681495048,-0.016472919,
16.023551679528968,-0.33613902,
16.121855677562884,-0.2512777,
16.220159675596808,-0.24542473,
16.318463673630728,-0.26952958,
16.416767671664648,0.28231698,
16.515071669698568,0.3021947,
16.613375667732484,0.081109226,
16.711679665766408,0.3028319,
16.809983663800327,0.19628966,
16.908287661834247,0.14271638,
17.006591659868167,-0.14555658,
17.104895657902087,-0.097793564,
17.203199655936007,0.14852335,
17.301503653969927,0.028347205,
17.399807652003847,0.30561057,
17.498111650037767,0.05502382,
17.596415648071687,0.08114864,
17.694719646105607,-0.31524637,
17.793023644139527,-0.10020438,
17.891327642173447,-0.0045699337,
17.989631640207367,0.14186898,
18.087935638241287,0.048096832,
18.186239636275207,0.1259622,
18.284543634309127,0.14721283,
18.382847632343047,0.22532125,
18.481151630376967,0.5558196,
18.579455628410887,0.60903156,
18.677759626444807,0.2160557,
18.776063624478727,0.17542331,
18.874367622512647,0.31953353,
18.97267162054657,0.250891,
19.070975618580487,0.23043849,
19.169279616614407,0.23755269,
19.267583614648327,0.31720808,
19.365887612682247,-0.09568821,
